site,m_group,dataset,mean,sd,2.5%,25%,50%,75%,97.5%
PL,Decapoda,order,39.90442719587987,9.716105645870057,21.351936815817584,33.469006683756646,39.74631900451344,46.22244810346344,59.45908709431495
PL,Gobiiformes,order,38.62715124964595,20.47480361779098,6.788215711492565,23.03477113969092,35.65350428515224,51.29630435275696,86.1356770793724
PD,Centrarchiformes,order,30.274465148363998,7.317263364244697,15.44663043496731,25.396845479967112,30.398912997195954,35.07342538577507,44.3554584238607
PD,Cichliformes,order,29.05580279636977,12.27051439362803,7.31669192123727,20.641178967115977,28.32244654986784,36.6703938004305,55.93844640348382
PD,Cyprinodontiformes,order,41.19222234990291,20.07304019179717,7.883969018054948,26.158280596834167,39.50082346946083,54.36213445574093,84.52494957691013
PD,Decapoda,order,21.840055719460924,8.967881440156573,5.870082090395832,15.514291781667719,21.54379176614417,27.560178887856452,41.052356293863724
PD,Siluriformes,order,29.656559739839988,15.045305510190971,5.402254393458565,19.014534632271733,28.224333952070346,38.35534372781825,64.40533624245239
MR,Centrarchiformes,order,8.296523473651327,5.206863215667779,1.4297785802312568,4.391991865470105,7.287658742325453,11.112349711727433,21.013017755342833
MR,Cichliformes,order,20.30904343703322,16.101383598288404,2.6607781728591657,9.23456478653437,16.063839261525914,25.77152748370492,67.2025419256068
MR,Cyprinodontiformes,order,25.85656146928987,18.474775404550282,3.3731753601813343,12.28845684126321,21.386072259897258,34.460066874238635,76.28072858986027
MR,Decapoda,order,36.660847672311384,25.752746149101757,2.7601705027822465,13.014123113476723,33.173613632570415,56.25190672167031,87.89872856386344
LN,Atheriniformes,order,48.76928951431479,20.443732884344765,11.726512748024229,33.90211017702982,48.207196050131024,62.64927091372219,89.58831892923217
LN,Centrarchiformes,order,44.906688323238136,19.793063218465544,8.84025259635071,30.731293934720615,43.9007052699782,57.88004819416933,86.54045933504342
LN,Clupeiformes,order,75.12486530615806,12.537691099740591,48.4214037706126,66.85557866691379,76.24284608990519,84.60892241536273,95.39557062156591
LN,Cyprinodontiformes,order,67.25655886472411,13.09865378877435,42.1724777775175,58.080443098537145,66.96416508807587,76.63721299668505,91.93307858355752
LN,Decapoda,order,55.49766402547475,19.28143478234188,16.074437144394572,42.895247556476576,55.445718369592626,69.43108087693037,91.24378759780332
LN,Gobiiformes,order,51.31708855270396,19.13848459408491,14.896178064855892,37.87953554077625,50.906032217605,64.1730369433342,89.35652022878327
LN,Lepisosteiformes,order,65.91082688740221,16.620093064856476,31.55761168001094,55.077607315241565,66.33240321720282,78.37506520382213,94.46001892557334
GC,Centrarchiformes,order,3.10044853749964,1.7759917673799357,0.5934057090413176,1.7716978257586335,2.7991329328290537,4.086341177331932,7.213753353800054
GC,Cyprinodontiformes,order,7.414842075488301,4.292918137143221,1.3014370396583042,4.212203686663242,6.695312212914198,9.779586402391033,17.326808972714712
GC,Decapoda,order,5.004569963065781,2.9489871016124356,0.9061471915436419,2.8120172809163764,4.4380919502117004,6.6486370325774615,12.282931761149673
GC,Siluriformes,order,8.520559773592764,5.301926559277616,1.383241855767842,4.518235097654811,7.420257956856806,11.393628694375913,21.22025909275149
EM,Centrarchiformes,order,27.46629521055913,6.202819871748634,15.409524114838222,23.232367941305977,27.528909533320366,31.550263151651635,39.78447267565105
EM,Decapoda,order,21.056486136216915,8.402749865433597,6.0324068519316345,15.189578345685845,20.634979763058208,26.417381058733604,38.726100656202675
EM,Siluriformes,order,29.62625495854064,10.772734855425837,8.776094459930695,22.277672257222285,29.68426935426647,36.65912061749333,50.94636031554077
AR,Centrarchiformes,order,17.398512040312422,4.075842497278357,9.109049951204554,14.742900752971005,17.48299783314379,20.233586872073154,25.033726107590464
AR,Cichliformes,order,16.556105776267493,8.09712796645734,3.2251284744877733,10.437717623958164,15.990885445357572,21.89097831835763,33.85456685329474
AR,Decapoda,order,29.1361081780526,16.65112630916554,4.821606450552111,17.18610448274892,26.995816026418172,37.798058019168536,71.22074760267344
AR,Siluriformes,order,25.67192445581552,15.887898442246765,4.224237407738473,14.142690160157063,22.720372080121905,33.9167379373856,67.19485736490259
WM,Amphidromous,transient_type,18.92597967203757,9.037999648433809,4.049320920996078,12.131987534663457,17.99586676613498,24.84256406982103,38.93502136955618
WM,Freshwater,transient_type,12.513684674464514,3.440254328285398,5.651569918101254,10.280132182360454,12.587968129855481,14.829267539425231,19.11255099322964
UN,Amphidromous,transient_type,19.234465903131653,9.29268981797634,4.0012507978232765,12.306510298092514,18.46464395279711,25.240733823883993,39.736577540812654
UN,Freshwater,transient_type,20.516739268354634,6.592836876846507,7.714182756509623,15.944635727143913,20.651755205035975,24.954284093032285,33.42918095861038
TR,Euryhaline,transient_type,85.74608185610846,5.741064157643469,74.49852208162456,81.8250945044501,85.84240523762496,89.9243740671484,96.31898516568383
