site,m_group,dataset,mean,sd,2.5%,25%,50%,75%,97.5%
LN,Decapoda,order,53.30668748681964,22.87256524806812,9.607768215971703,36.0309801212019,54.324854797506376,71.31969841423593,92.96953946905185
LN,Gobiiformes,order,50.03830533469794,24.221138097106635,7.231568996798784,30.712476648028986,49.72934053575357,68.66095955488373,92.67573697879338
LN,Lepisosteiformes,order,59.54706477411711,22.426757603897023,11.562128249963465,43.955396768733465,61.80795264983765,77.28506811602396,94.99200973309824
GC,Centrarchiformes,order,3.9755270298591814,1.9816095382075392,0.9012308989589773,2.500913616143763,3.6936830585481224,5.210864903948574,8.499381467982417
GC,Cyprinodontiformes,order,7.847396218325084,4.671418743409272,1.5024467165211606,4.399976443662523,7.050961950783666,10.209637267066096,19.157263231330322
GC,Decapoda,order,4.294892844112189,2.6298466996440855,0.8102857394284254,2.3535681620535804,3.834666027340793,5.667434551532858,10.636497140877927
GC,Siluriformes,order,8.465110234599054,5.347969322699077,1.426945416225982,4.578312032217491,7.3470323569517575,11.144399064571694,21.513401768620675
EM,Centrarchiformes,order,23.28613179133963,3.6369799514828762,16.942968477552895,20.7092456920689,23.02239541871768,25.57096709735879,31.142056474135803
EM,Decapoda,order,19.252500559166794,6.1853150530009655,8.65561894306211,15.036639644876537,18.706930196970127,22.77137379471003,33.23755676801217
EM,Siluriformes,order,24.503609754718855,7.303495739849085,13.28509379638873,19.542815291596753,23.43102637539819,28.323776489507996,41.25825100422172
AR,Centrarchiformes,order,5.808802143639071,1.775080417616768,2.494230566043674,4.590443759231568,5.785076981311017,6.971137370952782,9.47072739379796
AR,Cichliformes,order,6.114636684255655,3.1985792733739498,1.3381776634990186,3.7852607676991337,5.657680329647293,7.9008376139493075,13.713905905669948
AR,Decapoda,order,21.994118880792048,12.173224699372714,5.480644194131234,13.948795368612316,19.646025634707208,27.178164412627115,54.78376568508975
AR,Siluriformes,order,15.773532373148422,10.375364566582073,3.220841161020431,8.938407921536776,13.783042690035362,19.602762237886633,42.36619985542334
WM,Amphidromous,transient_type,16.72551741223056,8.426473737841834,3.6668399085968666,10.506295922535227,15.55660078421252,21.71364077047537,36.442280302864354
WM,Freshwater,transient_type,9.959785426366622,2.875402031466582,4.46359434276294,7.916264599988064,9.989410563282334,11.860931153568439,15.726115247098644
